associate,with_bearer_or_property,count_in_target_records,bridge_flag,assessment
Elizabeth/Besse Crownar,"widow of James Young and mother of David 1555; mother of eldest Robert and George 1555",2,Crownar-Young-property,"Strongly reconstructed as one woman; makes 1534 Crownar rear boundary significant"
John Coronare/Crownar,"Stockwell witness with Master John Spreull 1512; late northern rear boundary 1534",2,Crownar-Spreull-property,"Possible same man only; no relationship or property transfer formula"
William Adam,"John parcel witness 1527; Rankin act witness 1535",2,pre/post-1530 network,"Same name and city; plausible person but not independently identified"
John Craig,"John parcel witness 1527; Rankin act witness 1535",2,pre/post-1530 network,"Same name and city; spelling Graeg/Craig; plausible repeat"
Patrick Lyon,"1534 family sasine; Rankin sasine 1535; Smith heir service 1536",3,William property,"Bailie for key acts; office may explain recurrence"
John Walker,"William witness 1531; family settlement 1534; Rankin act 1535; late-William boundary act 1536",4,William network,"Repeated sergeant/witness; likely office-driven but useful manuscript-search key"
John Waulderston,"family settlement 1534; late-William boundary act 1536; younger John witness 1536",3,William-younger John,"Strongest repeated personal witness across family chronology; sergeant role may explain recurrence"
John Croket,"family settlement 1534; Rankin act 1535",2,William property,"Repeated witness/sergeant"
Esbell Brade,"William and son John 1534",1,direct family,"Direct spouse/mother; no earlier kin identified"
Robert Brade,"William Sprwl and Joneta Burl 1488",1,Glasgow-Brade-Spreull,"Witness to a Glasgow property sale by a Spreull couple; multi-generation civic network only"
Jonet Brady,"late Edward Scott 1528",1,Glasgow-Brade,"Explicit widow of a Glasgow citizen; held Kynclaith land but no kinship to Esbell stated"
Janet Bradye,"Andrew Muir 1531/32",1,Glasgow-Brade,"Explicit spouse of a Glasgow bailie; acquired St Thenew annualrent jointly"
Andrew Bradye,"Glasgow property witnesses 1532 and 1537",2,Glasgow-Brade,"Contemporary local bearer; no relationship stated"
Sir John Bradye,"Glasgow procurator/witness 1533 and 1548",2,Glasgow-Brade,"Cleric; distinct from the Rutherglen weaver unless evidence says otherwise"
Mariota Hamilton,"late John Brady; son John 1538/39",1,Rutherglen-Brade,"Direct widow and mother; daughter/heir of late James Hamilton"
John Brady weaver,"Mariota Hamilton; Isabella Oswald; Malcolm Brady 1538/39-1543",5,Rutherglen-Brade,"Direct son, spouse and father; hereditary South Street title"
Malcolm Brady,"John Brady and Isabella Oswald 1542/43-1543",3,Rutherglen-Brade,"Direct son and heir/apparent heir"
Janet Spreull,"son John 1534",1,direct family,"Direct daughter-in-law; no earlier kin identified"
Eufame Craig,"Glasgow rear liferent 1564; Craig-coordinated conveyances",1,older-John-title-layer,"Widow of unnamed Glasgow; leading reconstruction makes her the older John's widow because her liferent can pre-date and survive the fee transfer to William"
James Darow,"Stirling John 1475 and protocol milieu 1480",2,Stirling only,"No occurrence in target Glasgow acts"
Thomas Mure,"Jonet Bradye; Andrew Mure; Marion Crawford; Jonet Mure",4,Glasgow-Brade-family,"DIRECT son/heir of Jonet Bradye and spouse of Marion Crawford; direct brother of Jonet Mure; occupied Andrew Mure property"
Andrew Muir,"Janet Bradye longest-liver grant; Thomas Mure property occupation",2,Glasgow-Brade-family,"Strong probable second husband of Jonet and father of Thomas; no explicit spouse or father formula"
Edward Scott,"Jonet Brady; Alison Margaret Jonet Marion Scott",5,Glasgow-Brade-family,"Direct husband of Jonet and father/inheritance predecessor of four daughters; their mother is not named"
Ninian Bradie,"Rutherglen 1542; Glasgow 1564 and 1570-71; son James 1586/87",4,Rutherglen-Glasgow-Brade,"DIRECT father of James; rare-name lay identity across Rutherglen and Glasgow is strong; distinct from Selkirk cleric"
James Bradie,"Ninian Bradie; Garngad property",1,Glasgow-Brade-family,"DIRECT son and heir of Ninian; smith"
Malcolm Brady,"John Brady and Isabella Oswald 1543; Rutherglen 1571",4,Rutherglen-Brade,"Direct son/heir in 1543; rare-name same-place identity in 1571 strong"
