first_name,last_name,year,place,county,transcript_url
Janet,Crawford Or Craufurd,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F033363
William,Crooks (Cruikis),1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F034528
William,Dalzell,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F037080
James,Davie,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F037853
David,Donald,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F040238
John,Donald,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F040286
Alexander,Dunbar,1549,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F043171
Gavin,Dunbar,1548,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F043219
John,Duncan,1596,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F043813
Andro,Dunlop,1564,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F044389
Andro,Dunlop,1565,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F044390
James,Dunlop,1599,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F044451
Janet,Dunlop,1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F044521
Martha,Dunlop,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F044539
George,Elphingston,1587,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F046051
Andro,Fawlis,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F047639
Robert,Fawlis,1575,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F047641
John,Finlay,1599,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F048947
Thomas,Finlay,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F048986
James,Finlayson (Finlasoune),1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F049350
Archibald,Fleming (Flemyng),1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F050221
James,Fleming (Flemyng),1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F050231
Robert,Fleming (Flemyng),1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F050251
William,Fourler,1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F052088
Agnes,Fulton (Foulton),1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F053158
John,Fulton (Foulton),1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F053159
Thomas,Fulton (Foulton),1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F053160
Marion,Gardin,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F053976
James,Gib,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F055459
Janet,Gibson,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F056137
John,Gillies,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F056973
Cuthbert,Gilmour,1565,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057085
Robert,Gilmour,1565,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057213
Elizabeth,Glen,—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057634
John,Glen,1581,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057710
John,Glen,1581,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057708
John,Glen,1587,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057707
Patrick,Glen,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057760
Gawen,Grahame,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F059977
Patrick,Gray,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F061522
Alison,Hall,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F063833
Gilbert,Hall,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F063894
John,Hall,1572,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F063959
Elizabeth,Hamilton,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F064633
James,Hamilton,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F064905
George,Herbertson (Harbertsoun),1587,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F069239
John,Herbertson (Harbertsoun),1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F069240
John,Herbertson (Harbertsoun),1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F069241
Robert,Herbertson (Harbertsoun),1582,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F069243
Robert,Herbertson (Harbertsoun),1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F069244
James,Heriott,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F069471
James,Houstoun,1550,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F071901
William,Howie (Howy),1582,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F072226
Mark,Jameson,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F076004
John,Johnstone,1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F077328
John,Johnstone,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F077329
John,Knox,1549,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F082160
William,Kyle,1578,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F082444
Andro,Lasoun,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F083452
Margaret,Lawrie,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F084150
Andro,Lawson,1587,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F084282
Isobel,Lennox,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F085268
Janet,Lennox,1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F085305
James,Lindsay (Lyndesay),1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F086549
James,Lindsay (Lyndesay),1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F086550
John,Lindsay (Lyndesay),1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F086570
Edward,Lothian (Lowthiane),1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F088583
Archibald,Lyon,1587,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F090064
Janet,Macnair,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F091494
Allan,Marshall (Marschell),1584,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F093164
Robert,Marshall (Marschell),1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F093189
John,Martin,—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F093470
Janet,Maxwell,1549,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F094848
John,Maxwell,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F094786
Robert,McMillane,1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F100852
Walter,McNair,1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F101168
William,Millar Or Miller,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F104489
John,Morison,1568,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F108017
John,Mudie,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F109341
Alexander,Muirhead Or Mureheid,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F109799
John,Mure,1581,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F110255
Robert,Mure,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F110296
Thomas,Mure Or Muir,—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F110762
Patrik,Nasmyth,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F112620
William,Neilsoun,1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F113523
John,Patoun (Pawtoune),1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F118594
George,"Pollok (Pook, Poleik)",1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F120651
Margaret,Ralstoun,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F122821
Archibald,Rankene,1573,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F123806
Archibald,Rankene,1573,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F123807
Helen,Rankene,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F123809
Katherine,Rankene,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F123812
Margaret,Rankene,1581,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F123814
Margaret,Rankene,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F123815
Andro,Ritchie (Riche),1575,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F126730
James,Roberton,1547,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F126921
Stevin,Robertson,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F127960
Thomas,Robertson,1548,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F127991
Elizabeth,Robson,1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F128630
John,Robson,1594,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F128676
James,Rolland,1599,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F129108
Thomas,"Ross (Rose, Ros, Rois)",1571,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F129985
William,Schankschaw,1573,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F131711
Eufame,Scheills,1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F131879
John,Scheills,1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F131881
David,Scott,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F132398
Elizabeth,Scott,1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F132448
Janet,Scott,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F133103
Archibald,Sellar,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F133931
Margaret,Sempill (Sympill),1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F133975
Henry,Smyth,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F139183
Phillane,Snype,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F139498
Thomas,Spang,1578,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F140074
Janet,"Steven, Stein Or Steyne",—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F141862
Thomas,"Stevenson (Steinstoun, Steinson, Stevenstoun)",—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142356
William,Stevin,1591,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142526
Allan,Stevinson (Steinsoun),1593,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142535
John,Stevinson (Steinsoun),1565,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142564
Alexander,Stewart,1599,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142615
Hector,Stewart,1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142715
James,Stewart,1589,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142757
Marie,Stewart,1599,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F142877
Alexander,Symontoun,1584,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F146361
William,Symson,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F146569
James,Taylor (Tailzeour),1598,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F147417
John,Tempill,1575,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F147711
Walter,Thomson,1599,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F149924
James,Wallace,1575,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F153781
Allan,Watt,1596,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F155790
James,Watt,1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F155873
William,Watt,1575,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F156066
James,White Or Whyte (Quhyt),—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F157787
David,Wilson,1585,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F159774
Janet,Wilson,1599,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F160706
John,Wilson,1576,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F160457
John,Wilson,1592,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F160454
Margaret,Wilson,1565,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F160821
William,Wilson,1577,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F161264
Janet,Winnyng,1595,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F161482
John,Woodrope,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F162251
Allan,Wylie,1588,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F162856
David,Wylie,1584,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F162864
John,Young,—,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F163931
John,Young,1597,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F163933
Mathew,Young,1586,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F164179
Robert,Young,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F164271
John,Younger,1590,Glasgow,Lanarkshire,https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F164532
